k E
0.4253 -5.4665
0.4326 -5.4748
0.4385 -5.4693
0.4444 -5.4528
0.4504 -5.4255
0.4563 -5.3879
0.4623 -5.3404
0.4682 -5.2839
0.4742 -5.2190
0.4801 -5.1469
0.4860 -5.0686
0.4920 -4.9857
0.4979 -4.9081
0.5039 -4.9043
0.5098 -4.9016
0.5158 -4.8993
0.5217 -4.8970
0.5277 -4.8955
0.5336 -4.8941
0.5395 -4.8930
0.5455 -4.8924
0.5514 -4.8921

0.0000 -4.8995
0.0042 -4.8993
0.0084 -4.8991
0.0126 -4.8988
0.0168 -4.8985
0.0210 -4.8981
0.0252 -4.8975
0.0294 -4.8968
0.0336 -4.8960
0.0378 -4.8955
0.0420 -4.8947
0.0462 -4.8940
0.0504 -4.8932
0.0546 -4.8924
0.0588 -4.8919
0.0630 -4.8913
0.0672 -4.8908
0.0714 -4.8904
0.0756 -4.8903
0.0799 -4.8900
0.0841 -4.8899
0.0883 -4.8902
0.0925 -4.8903
0.0967 -4.8910
0.1009 -4.8917
0.1051 -4.8927
0.1093 -4.8938
0.1135 -4.8951
0.1177 -4.8966
0.1219 -4.8979
0.1261 -4.8993
0.1303 -4.9009
0.1345 -4.9023
0.1387 -4.9037
0.1429 -4.9049
0.1471 -4.9065
0.1513 -4.9074
0.1555 -4.9082
0.1597 -4.9087
0.1639 -4.9090
0.1681 -4.9089
0.1740 -4.9089
0.1800 -4.9089
0.1859 -4.9063
0.1919 -4.9039
0.1978 -4.9011
0.2038 -4.8986
0.2097 -4.8960
0.2157 -4.8944
0.2216 -4.8925
0.2275 -4.8915
0.2335 -4.8916
0.2394 -4.8930
0.2454 -4.8943
0.2513 -4.8956
0.2573 -4.8964
0.2632 -4.8976
0.2691 -4.8984
0.2751 -4.8990
0.2810 -4.8993
0.2870 -4.8995
0.2943 -4.8994
0.3015 -4.8994
0.3088 -4.8994
0.3161 -4.8992
0.3234 -4.8997
0.3306 -4.9002
0.3379 -4.9014
0.3452 -4.9026
0.3525 -4.9043
0.3598 -4.9062
0.3670 -4.9088
0.3743 -4.9116
0.3816 -4.9146
0.3889 -4.9176
0.3962 -4.9203
0.4034 -4.9229
0.4107 -4.9251
0.4180 -4.9268
0.4253 -4.9275
0.4326 -4.9278
0.4385 -4.9276
0.4444 -4.9271
0.4504 -4.9260
0.4563 -4.9244
0.4623 -4.9223
0.4682 -4.9203
0.4742 -4.9179
0.4801 -4.9148
0.4860 -4.9124
0.4920 -4.9096
0.4979 -4.9059
0.5039 -4.9030
0.5098 -4.9001
0.5158 -4.8976
0.5217 -4.8952
0.5277 -4.8936
0.5336 -4.8920
0.5395 -4.8909
0.5455 -4.8902
0.5514 -4.8899

0.0000 -4.8995
0.0042 -4.8993
0.0084 -4.8991
0.0126 -4.8988
0.0168 -4.8985
0.0210 -4.8981
0.0252 -4.8975
0.0294 -4.8968
0.0336 -4.8960
0.0378 -4.8955
0.0420 -4.8947
0.0462 -4.8940
0.0504 -4.8932
0.0546 -4.8924
0.0588 -4.8919
0.0630 -4.8913
0.0672 -4.8908
0.0714 -4.8904
0.0756 -4.8903
0.0799 -4.8900
0.0841 -4.8899
0.0883 -4.8898
0.0925 -4.8898
0.0967 -4.8896
0.1009 -4.8892
0.1051 -4.8889
0.1093 -4.8884
0.1135 -4.8880
0.1177 -4.8874
0.1219 -4.8868
0.1261 -4.8862
0.1303 -4.8856
0.1345 -4.8850
0.1387 -4.8845
0.1429 -4.8840
0.1471 -4.8836
0.1513 -4.8901
0.1555 -4.9074
0.1597 -4.9084
0.1639 -4.9088
0.1681 -4.9089
0.1740 -4.9087
0.1800 -4.9075
0.1859 -4.8842
0.1919 -4.8840
0.1978 -4.8844
0.2038 -4.8853
0.2097 -4.8864
0.2157 -4.8878
0.2216 -4.8891
0.2275 -4.8902
0.2335 -4.8913
0.2394 -4.8916
0.2454 -4.8920
0.2513 -4.8932
0.2573 -4.8943
0.2632 -4.8960
0.2691 -4.8974
0.2751 -4.8985
0.2810 -4.8991
0.2870 -4.8995
0.2943 -4.8989
0.3015 -4.8977
0.3088 -4.8957
0.3161 -4.8930
0.3234 -4.8906
0.3306 -4.8884
0.3379 -4.8870
0.3452 -4.8859
0.3525 -4.8860
0.3598 -4.8869
0.3670 -4.8901
0.3743 -4.9116
0.3816 -4.9146
0.3889 -4.9176
